dataset,tree_type,flip_percentage,parameters,fold,accuracy
Australian,CART,20,1e-05,1,0.8439306358381503
Australian,CART,20,0.0001,1,0.8439306358381503
Australian,CART,20,0.001,1,0.8439306358381503
Australian,CART,20,0.01,1,0.8323699421965318
Australian,CART,20,0.1,1,0.5664739884393064
Australian,CART,20,1,1,0.5664739884393064
Australian,CART,20,10,1,0.5664739884393064
Australian,CART,20,100,1,0.5664739884393064
Australian,CART,20,1000,1,0.5664739884393064
Australian,CART,20,10000,1,0.5664739884393064
Australian,CART,20,100000,1,0.5664739884393064
Australian,CART,20,1e-05,2,0.8554913294797688
Australian,CART,20,0.0001,2,0.8554913294797688
Australian,CART,20,0.001,2,0.8554913294797688
Australian,CART,20,0.01,2,0.7861271676300579
Australian,CART,20,0.1,2,0.4913294797687861
Australian,CART,20,1,2,0.4913294797687861
Australian,CART,20,10,2,0.4913294797687861
Australian,CART,20,100,2,0.4913294797687861
Australian,CART,20,1000,2,0.4913294797687861
Australian,CART,20,10000,2,0.4913294797687861
Australian,CART,20,100000,2,0.4913294797687861
Australian,CART,20,1e-05,3,0.8430232558139535
Australian,CART,20,0.0001,3,0.8430232558139535
Australian,CART,20,0.001,3,0.8430232558139535
Australian,CART,20,0.01,3,0.8023255813953488
Australian,CART,20,0.1,3,0.563953488372093
Australian,CART,20,1,3,0.563953488372093
Australian,CART,20,10,3,0.563953488372093
Australian,CART,20,100,3,0.563953488372093
Australian,CART,20,1000,3,0.563953488372093
Australian,CART,20,10000,3,0.563953488372093
Australian,CART,20,100000,3,0.563953488372093
Australian,CART,20,1e-05,4,0.7965116279069767
Australian,CART,20,0.0001,4,0.7965116279069767
Australian,CART,20,0.001,4,0.7965116279069767
Australian,CART,20,0.01,4,0.8313953488372093
Australian,CART,20,0.1,4,0.5988372093023255
Australian,CART,20,1,4,0.5988372093023255
Australian,CART,20,10,4,0.5988372093023255
Australian,CART,20,100,4,0.5988372093023255
Australian,CART,20,1000,4,0.5988372093023255
Australian,CART,20,10000,4,0.5988372093023255
Australian,CART,20,100000,4,0.5988372093023255
Australian,CART,30,1e-05,1,0.791907514450867
Australian,CART,30,0.0001,1,0.791907514450867
Australian,CART,30,0.001,1,0.791907514450867
Australian,CART,30,0.01,1,0.8786127167630058
Australian,CART,30,0.1,1,0.5953757225433526
Australian,CART,30,1,1,0.5953757225433526
Australian,CART,30,10,1,0.5953757225433526
Australian,CART,30,100,1,0.5953757225433526
Australian,CART,30,1000,1,0.5953757225433526
Australian,CART,30,10000,1,0.5953757225433526
Australian,CART,30,100000,1,0.5953757225433526
Australian,CART,30,1e-05,2,0.7514450867052023
Australian,CART,30,0.0001,2,0.7514450867052023
Australian,CART,30,0.001,2,0.7514450867052023
Australian,CART,30,0.01,2,0.7630057803468208
Australian,CART,30,0.1,2,0.5317919075144508
Australian,CART,30,1,2,0.5317919075144508
Australian,CART,30,10,2,0.5317919075144508
Australian,CART,30,100,2,0.5317919075144508
Australian,CART,30,1000,2,0.5317919075144508
Australian,CART,30,10000,2,0.5317919075144508
Australian,CART,30,100000,2,0.5317919075144508
Australian,CART,30,1e-05,3,0.7906976744186046
Australian,CART,30,0.0001,3,0.7906976744186046
Australian,CART,30,0.001,3,0.7906976744186046
Australian,CART,30,0.01,3,0.7732558139534884
Australian,CART,30,0.1,3,0.5930232558139535
Australian,CART,30,1,3,0.5930232558139535
Australian,CART,30,10,3,0.5930232558139535
Australian,CART,30,100,3,0.5930232558139535
Australian,CART,30,1000,3,0.5930232558139535
Australian,CART,30,10000,3,0.5930232558139535
Australian,CART,30,100000,3,0.5930232558139535
Australian,CART,30,1e-05,4,0.877906976744186
Australian,CART,30,0.0001,4,0.877906976744186
Australian,CART,30,0.001,4,0.877906976744186
Australian,CART,30,0.01,4,0.8662790697674418
Australian,CART,30,0.1,4,0.5
Australian,CART,30,1,4,0.5
Australian,CART,30,10,4,0.5
Australian,CART,30,100,4,0.5
Australian,CART,30,1000,4,0.5
Australian,CART,30,10000,4,0.5
Australian,CART,30,100000,4,0.5
Australian,CART,40,1e-05,1,0.7052023121387283
Australian,CART,40,0.0001,1,0.7052023121387283
Australian,CART,40,0.001,1,0.7052023121387283
Australian,CART,40,0.01,1,0.6069364161849711
Australian,CART,40,0.1,1,0.6069364161849711
Australian,CART,40,1,1,0.6069364161849711
Australian,CART,40,10,1,0.6069364161849711
Australian,CART,40,100,1,0.6069364161849711
Australian,CART,40,1000,1,0.6069364161849711
Australian,CART,40,10000,1,0.6069364161849711
Australian,CART,40,100000,1,0.6069364161849711
Australian,CART,40,1e-05,2,0.8497109826589595
Australian,CART,40,0.0001,2,0.8497109826589595
Australian,CART,40,0.001,2,0.8497109826589595
Australian,CART,40,0.01,2,0.8670520231213873
Australian,CART,40,0.1,2,0.5606936416184971
Australian,CART,40,1,2,0.5606936416184971
Australian,CART,40,10,2,0.5606936416184971
Australian,CART,40,100,2,0.5606936416184971
Australian,CART,40,1000,2,0.5606936416184971
Australian,CART,40,10000,2,0.5606936416184971
Australian,CART,40,100000,2,0.5606936416184971
Australian,CART,40,1e-05,3,0.8197674418604651
Australian,CART,40,0.0001,3,0.8197674418604651
Australian,CART,40,0.001,3,0.8197674418604651
Australian,CART,40,0.01,3,0.5465116279069767
Australian,CART,40,0.1,3,0.5465116279069767
Australian,CART,40,1,3,0.5465116279069767
Australian,CART,40,10,3,0.5465116279069767
Australian,CART,40,100,3,0.5465116279069767
Australian,CART,40,1000,3,0.5465116279069767
Australian,CART,40,10000,3,0.5465116279069767
Australian,CART,40,100000,3,0.5465116279069767
Australian,CART,40,1e-05,4,0.6918604651162791
Australian,CART,40,0.0001,4,0.6918604651162791
Australian,CART,40,0.001,4,0.6918604651162791
Australian,CART,40,0.01,4,0.75
Australian,CART,40,0.1,4,0.5058139534883721
Australian,CART,40,1,4,0.5058139534883721
Australian,CART,40,10,4,0.5058139534883721
Australian,CART,40,100,4,0.5058139534883721
Australian,CART,40,1000,4,0.5058139534883721
Australian,CART,40,10000,4,0.5058139534883721
Australian,CART,40,100000,4,0.5058139534883721
BreastCancer,CART,20,1e-05,1,0.9142857142857143
BreastCancer,CART,20,0.0001,1,0.9142857142857143
BreastCancer,CART,20,0.001,1,0.9142857142857143
BreastCancer,CART,20,0.01,1,0.92
BreastCancer,CART,20,0.1,1,0.92
BreastCancer,CART,20,1,1,0.6628571428571428
