dataset,tree_type,flip_percentage,parameters,fold,accuracy
Australian,OCTSVM,0,"(0.01, 0.01, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 0.01, 0.1)",1,0.7861271676300579
Australian,OCTSVM,0,"(0.01, 0.01, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 0.1, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 0.1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 0.1, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 1, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.01, 1, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 0.01, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 0.01, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 0.01, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 0.1, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 0.1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 0.1, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 1, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(0.1, 1, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 0.01, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 0.01, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 0.01, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 0.1, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 0.1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 0.1, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 1, 0.01)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(1, 1, 1)",1,0.8323699421965318
Australian,OCTSVM,0,"(10, 0.01, 0.01)",1,0.8439306358381503
Australian,OCTSVM,0,"(10, 0.01, 0.1)",1,0.8439306358381503
Australian,OCTSVM,0,"(10, 0.01, 1)",1,0.8554913294797688
Australian,OCTSVM,0,"(10, 0.1, 0.01)",1,0.8439306358381503
Australian,OCTSVM,0,"(10, 0.1, 0.1)",1,0.838150289017341
Australian,OCTSVM,0,"(10, 0.1, 1)",1,0.8554913294797688
Australian,OCTSVM,0,"(10, 1, 0.01)",1,0.3988439306358382
Australian,OCTSVM,0,"(10, 1, 0.1)",1,0.8323699421965318
Australian,OCTSVM,0,"(10, 1, 1)",1,0.3988439306358382
Australian,OCTSVM,0,"(0.01, 0.01, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(0.01, 0.01, 0.1)",2,0.861271676300578
Australian,OCTSVM,0,"(0.01, 0.01, 1)",2,0.861271676300578
Australian,OCTSVM,0,"(0.01, 0.1, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(0.01, 0.1, 0.1)",2,0.861271676300578
Australian,OCTSVM,0,"(0.01, 0.1, 1)",2,0.861271676300578
Australian,OCTSVM,0,"(0.01, 1, 0.01)",2,0.630057803468208
Australian,OCTSVM,0,"(0.01, 1, 0.1)",2,0.630057803468208
Australian,OCTSVM,0,"(0.01, 1, 1)",2,0.6473988439306358
Australian,OCTSVM,0,"(0.1, 0.01, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(0.1, 0.01, 0.1)",2,0.861271676300578
Australian,OCTSVM,0,"(0.1, 0.01, 1)",2,0.861271676300578
Australian,OCTSVM,0,"(0.1, 0.1, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(0.1, 0.1, 0.1)",2,0.8208092485549133
Australian,OCTSVM,0,"(0.1, 0.1, 1)",2,0.838150289017341
Australian,OCTSVM,0,"(0.1, 1, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(0.1, 1, 0.1)",2,0.6416184971098265
Australian,OCTSVM,0,"(0.1, 1, 1)",2,0.6416184971098265
Australian,OCTSVM,0,"(1, 0.01, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(1, 0.01, 0.1)",2,0.861271676300578
Australian,OCTSVM,0,"(1, 0.01, 1)",2,0.861271676300578
Australian,OCTSVM,0,"(1, 0.1, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(1, 0.1, 0.1)",2,0.8265895953757225
Australian,OCTSVM,0,"(1, 0.1, 1)",2,0.861271676300578
Australian,OCTSVM,0,"(1, 1, 0.01)",2,0.37572254335260113
Australian,OCTSVM,0,"(1, 1, 0.1)",2,0.37572254335260113
Australian,OCTSVM,0,"(1, 1, 1)",2,0.37572254335260113
Australian,OCTSVM,0,"(10, 0.01, 0.01)",2,0.37572254335260113
Australian,OCTSVM,0,"(10, 0.01, 0.1)",2,0.37572254335260113
Australian,OCTSVM,0,"(10, 0.01, 1)",2,0.37572254335260113
Australian,OCTSVM,0,"(10, 0.1, 0.01)",2,0.8323699421965318
Australian,OCTSVM,0,"(10, 0.1, 0.1)",2,0.8323699421965318
Australian,OCTSVM,0,"(10, 0.1, 1)",2,0.838150289017341
Australian,OCTSVM,0,"(10, 1, 0.01)",2,0.861271676300578
Australian,OCTSVM,0,"(10, 1, 0.1)",2,0.37572254335260113
Australian,OCTSVM,0,"(10, 1, 1)",2,0.37572254335260113
Australian,OCTSVM,0,"(0.01, 0.01, 0.01)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.01, 0.01, 0.1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.01, 0.01, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.01, 0.1, 0.01)",3,0.8488372093023255
Australian,OCTSVM,0,"(0.01, 0.1, 0.1)",3,0.8488372093023255
Australian,OCTSVM,0,"(0.01, 0.1, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.01, 1, 0.01)",3,0.5348837209302325
Australian,OCTSVM,0,"(0.01, 1, 0.1)",3,0.8197674418604651
Australian,OCTSVM,0,"(0.01, 1, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.1, 0.01, 0.01)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.1, 0.01, 0.1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.1, 0.01, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.1, 0.1, 0.01)",3,0.7616279069767442
Australian,OCTSVM,0,"(0.1, 0.1, 0.1)",3,0.8372093023255814
Australian,OCTSVM,0,"(0.1, 0.1, 1)",3,0.8372093023255814
Australian,OCTSVM,0,"(0.1, 1, 0.01)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.1, 1, 0.1)",3,0.8430232558139535
Australian,OCTSVM,0,"(0.1, 1, 1)",3,0.8430232558139535
Australian,OCTSVM,0,"(1, 0.01, 0.01)",3,0.46511627906976744
Australian,OCTSVM,0,"(1, 0.01, 0.1)",3,0.46511627906976744
Australian,OCTSVM,0,"(1, 0.01, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(1, 0.1, 0.01)",3,0.8313953488372093
Australian,OCTSVM,0,"(1, 0.1, 0.1)",3,0.8313953488372093
Australian,OCTSVM,0,"(1, 0.1, 1)",3,0.8546511627906976
Australian,OCTSVM,0,"(1, 1, 0.01)",3,0.8546511627906976
Australian,OCTSVM,0,"(1, 1, 0.1)",3,0.8546511627906976
Australian,OCTSVM,0,"(1, 1, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 0.01, 0.01)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 0.01, 0.1)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 0.01, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 0.1, 0.01)",3,0.8197674418604651
Australian,OCTSVM,0,"(10, 0.1, 0.1)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 0.1, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 1, 0.01)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 1, 0.1)",3,0.46511627906976744
Australian,OCTSVM,0,"(10, 1, 1)",3,0.46511627906976744
Australian,OCTSVM,0,"(0.01, 0.01, 0.01)",4,0.8023255813953488
Australian,OCTSVM,0,"(0.01, 0.01, 0.1)",4,0.8255813953488372
Australian,OCTSVM,0,"(0.01, 0.01, 1)",4,0.7906976744186046
Australian,OCTSVM,0,"(0.01, 0.1, 0.01)",4,0.45930232558139533
Australian,OCTSVM,0,"(0.01, 0.1, 0.1)",4,0.5406976744186046
Australian,OCTSVM,0,"(0.01, 0.1, 1)",4,0.5406976744186046
Australian,OCTSVM,0,"(0.01, 1, 0.01)",4,0.7906976744186046
Australian,OCTSVM,0,"(0.01, 1, 0.1)",4,0.5406976744186046
Australian,OCTSVM,0,"(0.01, 1, 1)",4,0.7965116279069767
Australian,OCTSVM,0,"(0.1, 0.01, 0.01)",4,0.8604651162790697
Australian,OCTSVM,0,"(0.1, 0.01, 0.1)",4,0.8662790697674418
Australian,OCTSVM,0,"(0.1, 0.01, 1)",4,0.872093023255814
Australian,OCTSVM,0,"(0.1, 0.1, 0.01)",4,0.5406976744186046
Australian,OCTSVM,0,"(0.1, 0.1, 0.1)",4,0.5406976744186046
Australian,OCTSVM,0,"(0.1, 0.1, 1)",4,0.5406976744186046
Australian,OCTSVM,0,"(0.1, 1, 0.01)",4,0.8837209302325582
Australian,OCTSVM,0,"(0.1, 1, 0.1)",4,0.8837209302325582
Australian,OCTSVM,0,"(0.1, 1, 1)",4,0.8662790697674418
Australian,OCTSVM,0,"(1, 0.01, 0.01)",4,0.5872093023255814
Australian,OCTSVM,0,"(1, 0.01, 0.1)",4,0.6046511627906976
Australian,OCTSVM,0,"(1, 0.01, 1)",4,0.6046511627906976
Australian,OCTSVM,0,"(1, 0.1, 0.01)",4,0.11627906976744186
Australian,OCTSVM,0,"(1, 0.1, 0.1)",4,0.5406976744186046
Australian,OCTSVM,0,"(1, 0.1, 1)",4,0.5406976744186046
Australian,OCTSVM,0,"(1, 1, 0.01)",4,0.5406976744186046
Australian,OCTSVM,0,"(1, 1, 0.1)",4,0.48255813953488375
Australian,OCTSVM,0,"(1, 1, 1)",4,0.48255813953488375
Australian,OCTSVM,0,"(10, 0.01, 0.01)",4,0.6569767441860465
Australian,OCTSVM,0,"(10, 0.01, 0.1)",4,0.6569767441860465
Australian,OCTSVM,0,"(10, 0.01, 1)",4,0.6686046511627907
Australian,OCTSVM,0,"(10, 0.1, 0.01)",4,0.6686046511627907
Australian,OCTSVM,0,"(10, 0.1, 0.1)",4,0.5406976744186046
Australian,OCTSVM,0,"(10, 0.1, 1)",4,0.5406976744186046
Australian,OCTSVM,0,"(10, 1, 0.01)",4,0.6337209302325582
Australian,OCTSVM,0,"(10, 1, 0.1)",4,0.6337209302325582
Australian,OCTSVM,0,"(10, 1, 1)",4,0.6337209302325582
Australian,OCTSVM,20,"(0.01, 0.01, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 0.01, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 0.01, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 0.1, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 0.1, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 0.1, 1)",1,0.7225433526011561
Australian,OCTSVM,20,"(0.01, 1, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 1, 0.1)",1,0.5895953757225434
Australian,OCTSVM,20,"(0.01, 1, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 0.01, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 0.01, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 0.01, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 0.1, 0.01)",1,0.838150289017341
Australian,OCTSVM,20,"(0.1, 0.1, 0.1)",1,0.861271676300578
Australian,OCTSVM,20,"(0.1, 0.1, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 1, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 1, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.1, 1, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(1, 0.01, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(1, 0.01, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(1, 0.01, 1)",1,0.8497109826589595
Australian,OCTSVM,20,"(1, 0.1, 0.01)",1,0.8092485549132948
Australian,OCTSVM,20,"(1, 0.1, 0.1)",1,0.8092485549132948
Australian,OCTSVM,20,"(1, 0.1, 1)",1,0.8092485549132948
Australian,OCTSVM,20,"(1, 1, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(1, 1, 0.1)",1,0.8497109826589595
Australian,OCTSVM,20,"(1, 1, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(10, 0.01, 0.01)",1,0.8497109826589595
Australian,OCTSVM,20,"(10, 0.01, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(10, 0.01, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(10, 0.1, 0.01)",1,0.5549132947976878
Australian,OCTSVM,20,"(10, 0.1, 0.1)",1,0.8439306358381503
Australian,OCTSVM,20,"(10, 0.1, 1)",1,0.8439306358381503
Australian,OCTSVM,20,"(10, 1, 0.01)",1,0.44508670520231214
Australian,OCTSVM,20,"(10, 1, 0.1)",1,0.44508670520231214
Australian,OCTSVM,20,"(10, 1, 1)",1,0.44508670520231214
Australian,OCTSVM,20,"(0.01, 0.01, 0.01)",2,0.8497109826589595
Australian,OCTSVM,20,"(0.01, 0.01, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.01, 0.01, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.01, 0.1, 0.01)",2,0.7283236994219653
Australian,OCTSVM,20,"(0.01, 0.1, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.01, 0.1, 1)",2,0.4277456647398844
Australian,OCTSVM,20,"(0.01, 1, 0.01)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.01, 1, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.01, 1, 1)",2,0.4277456647398844
Australian,OCTSVM,20,"(0.1, 0.01, 0.01)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 0.01, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 0.01, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 0.1, 0.01)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 0.1, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 0.1, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 1, 0.01)",2,0.8670520231213873
Australian,OCTSVM,20,"(0.1, 1, 0.1)",2,0.5722543352601156
Australian,OCTSVM,20,"(0.1, 1, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(1, 0.01, 0.01)",2,0.8670520231213873
Australian,OCTSVM,20,"(1, 0.01, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(1, 0.01, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(1, 0.1, 0.01)",2,0.4682080924855491
Australian,OCTSVM,20,"(1, 0.1, 0.1)",2,0.8670520231213873
Australian,OCTSVM,20,"(1, 0.1, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(1, 1, 0.01)",2,0.4277456647398844
Australian,OCTSVM,20,"(1, 1, 0.1)",2,0.4277456647398844
Australian,OCTSVM,20,"(1, 1, 1)",2,0.8670520231213873
Australian,OCTSVM,20,"(10, 0.01, 0.01)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 0.01, 0.1)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 0.01, 1)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 0.1, 0.01)",2,0.4682080924855491
Australian,OCTSVM,20,"(10, 0.1, 0.1)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 0.1, 1)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 1, 0.01)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 1, 0.1)",2,0.4277456647398844
Australian,OCTSVM,20,"(10, 1, 1)",2,0.4277456647398844
Australian,OCTSVM,20,"(0.01, 0.01, 0.01)",3,0.877906976744186
Australian,OCTSVM,20,"(0.01, 0.01, 0.1)",3,0.877906976744186
Australian,OCTSVM,20,"(0.01, 0.01, 1)",3,0.48255813953488375
Australian,OCTSVM,20,"(0.01, 0.1, 0.01)",3,0.7616279069767442
Australian,OCTSVM,20,"(0.01, 0.1, 0.1)",3,0.813953488372093
Australian,OCTSVM,20,"(0.01, 0.1, 1)",3,0.48255813953488375
Australian,OCTSVM,20,"(0.01, 1, 0.01)",3,0.877906976744186
Australian,OCTSVM,20,"(0.01, 1, 0.1)",3,0.7616279069767442
Australian,OCTSVM,20,"(0.01, 1, 1)",3,0.48255813953488375
Australian,OCTSVM,20,"(0.1, 0.01, 0.01)",3,0.8837209302325582
Australian,OCTSVM,20,"(0.1, 0.01, 0.1)",3,0.8837209302325582
Australian,OCTSVM,20,"(0.1, 0.01, 1)",3,0.8837209302325582
Australian,OCTSVM,20,"(0.1, 0.1, 0.01)",3,0.877906976744186
Australian,OCTSVM,20,"(0.1, 0.1, 0.1)",3,0.872093023255814
Australian,OCTSVM,20,"(0.1, 0.1, 1)",3,0.8837209302325582
Australian,OCTSVM,20,"(0.1, 1, 0.01)",3,0.48255813953488375
Australian,OCTSVM,20,"(0.1, 1, 0.1)",3,0.8837209302325582
Australian,OCTSVM,20,"(0.1, 1, 1)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 0.01, 0.01)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 0.01, 0.1)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 0.01, 1)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 0.1, 0.01)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 0.1, 0.1)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 0.1, 1)",3,0.8837209302325582
Australian,OCTSVM,20,"(1, 1, 0.01)",3,0.7848837209302325
Australian,OCTSVM,20,"(1, 1, 0.1)",3,0.48255813953488375
Australian,OCTSVM,20,"(1, 1, 1)",3,0.48255813953488375
Australian,OCTSVM,20,"(10, 0.01, 0.01)",3,0.872093023255814
Australian,OCTSVM,20,"(10, 0.01, 0.1)",3,0.8662790697674418
Australian,OCTSVM,20,"(10, 0.01, 1)",3,0.8604651162790697
Australian,OCTSVM,20,"(10, 0.1, 0.01)",3,0.8837209302325582
Australian,OCTSVM,20,"(10, 0.1, 0.1)",3,0.8837209302325582
Australian,OCTSVM,20,"(10, 0.1, 1)",3,0.8837209302325582
Australian,OCTSVM,20,"(10, 1, 0.01)",3,0.5174418604651163
Australian,OCTSVM,20,"(10, 1, 0.1)",3,0.877906976744186
Australian,OCTSVM,20,"(10, 1, 1)",3,0.5174418604651163
Australian,OCTSVM,20,"(0.01, 0.01, 0.01)",4,0.7616279069767442
Australian,OCTSVM,20,"(0.01, 0.01, 0.1)",4,0.8197674418604651
Australian,OCTSVM,20,"(0.01, 0.01, 1)",4,0.42441860465116277
Australian,OCTSVM,20,"(0.01, 0.1, 0.01)",4,0.42441860465116277
Australian,OCTSVM,20,"(0.01, 0.1, 0.1)",4,0.813953488372093
Australian,OCTSVM,20,"(0.01, 0.1, 1)",4,0.42441860465116277
Australian,OCTSVM,20,"(0.01, 1, 0.01)",4,0.42441860465116277
Australian,OCTSVM,20,"(0.01, 1, 0.1)",4,0.5872093023255814
Australian,OCTSVM,20,"(0.01, 1, 1)",4,0.42441860465116277
Australian,OCTSVM,20,"(0.1, 0.01, 0.01)",4,0.8081395348837209
Australian,OCTSVM,20,"(0.1, 0.01, 0.1)",4,0.813953488372093
Australian,OCTSVM,20,"(0.1, 0.01, 1)",4,0.8197674418604651
Australian,OCTSVM,20,"(0.1, 0.1, 0.01)",4,0.8197674418604651
Australian,OCTSVM,20,"(0.1, 0.1, 0.1)",4,0.8197674418604651
Australian,OCTSVM,20,"(0.1, 0.1, 1)",4,0.8197674418604651
Australian,OCTSVM,20,"(0.1, 1, 0.01)",4,0.5755813953488372
Australian,OCTSVM,20,"(0.1, 1, 0.1)",4,0.5755813953488372
Australian,OCTSVM,20,"(0.1, 1, 1)",4,0.42441860465116277
Australian,OCTSVM,20,"(1, 0.01, 0.01)",4,0.8197674418604651
Australian,OCTSVM,20,"(1, 0.01, 0.1)",4,0.8197674418604651
Australian,OCTSVM,20,"(1, 0.01, 1)",4,0.8197674418604651
Australian,OCTSVM,20,"(1, 0.1, 0.01)",4,0.5755813953488372
Australian,OCTSVM,20,"(1, 0.1, 0.1)",4,0.8197674418604651
Australian,OCTSVM,20,"(1, 0.1, 1)",4,0.8197674418604651
Australian,OCTSVM,20,"(1, 1, 0.01)",4,0.42441860465116277
Australian,OCTSVM,20,"(1, 1, 0.1)",4,0.42441860465116277
Australian,OCTSVM,20,"(1, 1, 1)",4,0.5813953488372093
Australian,OCTSVM,20,"(10, 0.01, 0.01)",4,0.813953488372093
Australian,OCTSVM,20,"(10, 0.01, 0.1)",4,0.7965116279069767
Australian,OCTSVM,20,"(10, 0.01, 1)",4,0.8197674418604651
Australian,OCTSVM,20,"(10, 0.1, 0.01)",4,0.8197674418604651
Australian,OCTSVM,20,"(10, 0.1, 0.1)",4,0.8197674418604651
Australian,OCTSVM,20,"(10, 0.1, 1)",4,0.8197674418604651
Australian,OCTSVM,20,"(10, 1, 0.01)",4,0.42441860465116277
Australian,OCTSVM,20,"(10, 1, 0.1)",4,0.42441860465116277
Australian,OCTSVM,20,"(10, 1, 1)",4,0.42441860465116277
Australian,OCTSVM,30,"(0.01, 0.01, 0.01)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 0.01, 0.1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 0.01, 1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 0.1, 0.01)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 0.1, 0.1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 0.1, 1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 1, 0.01)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 1, 0.1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.01, 1, 1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.1, 0.01, 0.01)",1,0.815028901734104
Australian,OCTSVM,30,"(0.1, 0.01, 0.1)",1,0.815028901734104
Australian,OCTSVM,30,"(0.1, 0.01, 1)",1,0.815028901734104
Australian,OCTSVM,30,"(0.1, 0.1, 0.01)",1,0.815028901734104
Australian,OCTSVM,30,"(0.1, 0.1, 0.1)",1,0.815028901734104
Australian,OCTSVM,30,"(0.1, 0.1, 1)",1,0.815028901734104
Australian,OCTSVM,30,"(0.1, 1, 0.01)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.1, 1, 0.1)",1,0.41040462427745666
Australian,OCTSVM,30,"(0.1, 1, 1)",1,0.815028901734104
Australian,OCTSVM,30,"(1, 0.01, 0.01)",1,0.4913294797687861
Australian,OCTSVM,30,"(1, 0.01, 0.1)",1,0.815028901734104
Australian,OCTSVM,30,"(1, 0.01, 1)",1,0.815028901734104
Australian,OCTSVM,30,"(1, 0.1, 0.01)",1,0.815028901734104
Australian,OCTSVM,30,"(1, 0.1, 0.1)",1,0.815028901734104
Australian,OCTSVM,30,"(1, 0.1, 1)",1,0.815028901734104
Australian,OCTSVM,30,"(1, 1, 0.01)",1,0.41040462427745666
Australian,OCTSVM,30,"(1, 1, 0.1)",1,0.7976878612716763
