dataset,tree_type,flip_percentage,parameters,fold,accuracy
Australian,OCT,20,0.001,1,0.8786127167630058
Australian,OCT,20,0.01,1,0.8323699421965318
Australian,OCT,20,0.1,1,0.7687861271676301
Australian,OCT,20,0.001,2,0.7341040462427746
Australian,OCT,20,0.01,2,0.9132947976878613
Australian,OCT,20,0.1,2,0.9132947976878613
Australian,OCT,20,0.001,3,0.4941860465116279
Australian,OCT,20,0.01,3,0.8604651162790697
Australian,OCT,20,0.1,3,0.7267441860465116
Australian,OCT,20,0.001,4,0.7034883720930233
Australian,OCT,20,0.01,4,0.813953488372093
Australian,OCT,20,0.1,4,0.5232558139534884
Australian,OCT,30,0.001,1,0.5317919075144508
Australian,OCT,30,0.01,1,0.7341040462427746
Australian,OCT,30,0.1,1,0.5317919075144508
Australian,OCT,30,0.001,2,0.7052023121387283
Australian,OCT,30,0.01,2,0.7456647398843931
Australian,OCT,30,0.1,2,0.6705202312138728
Australian,OCT,30,0.001,3,0.5465116279069767
Australian,OCT,30,0.01,3,0.8255813953488372
Australian,OCT,30,0.1,3,0.5465116279069767
Australian,OCT,30,0.001,4,0.5232558139534884
Australian,OCT,30,0.01,4,0.5232558139534884
Australian,OCT,30,0.1,4,0.6744186046511628
Australian,OCT,40,0.001,1,0.5491329479768786
Australian,OCT,40,0.01,1,0.7456647398843931
Australian,OCT,40,0.1,1,0.5491329479768786
Australian,OCT,40,0.001,2,0.5664739884393064
Australian,OCT,40,0.01,2,0.7398843930635838
Australian,OCT,40,0.1,2,0.5664739884393064
Australian,OCT,40,0.001,3,0.5581395348837209
Australian,OCT,40,0.01,3,0.5465116279069767
Australian,OCT,40,0.1,3,0.6046511627906976
Australian,OCT,40,0.001,4,0.686046511627907
Australian,OCT,40,0.01,4,0.7151162790697675
Australian,OCT,40,0.1,4,0.5465116279069767
BreastCancer,OCT,20,0.001,1,0.88
BreastCancer,OCT,20,0.01,1,0.88
BreastCancer,OCT,20,0.1,1,0.92
BreastCancer,OCT,20,0.001,2,0.9028571428571428
BreastCancer,OCT,20,0.01,2,0.8114285714285714
BreastCancer,OCT,20,0.1,2,0.8114285714285714
BreastCancer,OCT,20,0.001,3,0.8857142857142857
BreastCancer,OCT,20,0.01,3,0.8857142857142857
BreastCancer,OCT,20,0.1,3,0.8857142857142857
BreastCancer,OCT,20,0.001,4,0.7816091954022989
BreastCancer,OCT,20,0.01,4,0.9080459770114943
BreastCancer,OCT,20,0.1,4,0.9080459770114943
BreastCancer,OCT,30,0.001,1,0.7771428571428571
BreastCancer,OCT,30,0.01,1,0.9142857142857143
BreastCancer,OCT,30,0.1,1,0.8285714285714286
BreastCancer,OCT,30,0.001,2,0.8685714285714285
BreastCancer,OCT,30,0.01,2,0.8914285714285715
BreastCancer,OCT,30,0.1,2,0.88
BreastCancer,OCT,30,0.001,3,0.84
BreastCancer,OCT,30,0.01,3,0.8571428571428571
BreastCancer,OCT,30,0.1,3,0.84
BreastCancer,OCT,30,0.001,4,0.9252873563218391
BreastCancer,OCT,30,0.01,4,0.9195402298850575
BreastCancer,OCT,30,0.1,4,0.9195402298850575
BreastCancer,OCT,40,0.001,1,0.8914285714285715
BreastCancer,OCT,40,0.01,1,0.8914285714285715
BreastCancer,OCT,40,0.1,1,0.6285714285714286
BreastCancer,OCT,40,0.001,2,0.8914285714285715
BreastCancer,OCT,40,0.01,2,0.8914285714285715
BreastCancer,OCT,40,0.1,2,0.92
BreastCancer,OCT,40,0.001,3,0.8057142857142857
BreastCancer,OCT,40,0.01,3,0.8914285714285715
BreastCancer,OCT,40,0.1,3,0.9085714285714286
BreastCancer,OCT,40,0.001,4,0.8735632183908046
BreastCancer,OCT,40,0.01,4,0.7988505747126436
BreastCancer,OCT,40,0.1,4,0.8563218390804598
Heart,OCT,20,0.001,1,0.7647058823529411
Heart,OCT,20,0.01,1,0.7941176470588235
Heart,OCT,20,0.1,1,0.6176470588235294
Heart,OCT,20,0.001,2,0.6617647058823529
Heart,OCT,20,0.01,2,0.6764705882352942
Heart,OCT,20,0.1,2,0.6911764705882353
Heart,OCT,20,0.001,3,0.7164179104477612
Heart,OCT,20,0.01,3,0.7313432835820896
Heart,OCT,20,0.1,3,0.6268656716417911
Heart,OCT,20,0.001,4,0.6865671641791045
Heart,OCT,20,0.01,4,0.6417910447761194
Heart,OCT,20,0.1,4,0.7164179104477612
Heart,OCT,30,0.001,1,0.6470588235294118
Heart,OCT,30,0.01,1,0.7647058823529411
Heart,OCT,30,0.1,1,0.6911764705882353
Heart,OCT,30,0.001,2,0.7794117647058824
Heart,OCT,30,0.01,2,0.6470588235294118
Heart,OCT,30,0.1,2,0.6470588235294118
Heart,OCT,30,0.001,3,0.6119402985074627
Heart,OCT,30,0.01,3,0.5373134328358209
Heart,OCT,30,0.1,3,0.47761194029850745
Heart,OCT,30,0.001,4,0.7164179104477612
Heart,OCT,30,0.01,4,0.7164179104477612
Heart,OCT,30,0.1,4,0.7313432835820896
Heart,OCT,40,0.001,1,0.6911764705882353
Heart,OCT,40,0.01,1,0.5588235294117647
Heart,OCT,40,0.1,1,0.5441176470588235
Heart,OCT,40,0.001,2,0.5294117647058824
Heart,OCT,40,0.01,2,0.5735294117647058
Heart,OCT,40,0.1,2,0.5588235294117647
Heart,OCT,40,0.001,3,0.5373134328358209
Heart,OCT,40,0.01,3,0.5522388059701493
Heart,OCT,40,0.1,3,0.7910447761194029
Heart,OCT,40,0.001,4,0.5074626865671642
Heart,OCT,40,0.01,4,0.582089552238806
Heart,OCT,40,0.1,4,0.6567164179104478
Wholesale,OCT,20,0.001,1,0.9272727272727272
Wholesale,OCT,20,0.01,1,0.8181818181818182
Wholesale,OCT,20,0.1,1,0.9636363636363636
Wholesale,OCT,20,0.001,2,0.8727272727272727
Wholesale,OCT,20,0.01,2,0.8636363636363636
Wholesale,OCT,20,0.1,2,0.8727272727272727
Wholesale,OCT,20,0.001,3,0.9181818181818182
Wholesale,OCT,20,0.01,3,0.8090909090909091
Wholesale,OCT,20,0.1,3,0.9
Wholesale,OCT,20,0.001,4,0.7636363636363637
Wholesale,OCT,20,0.01,4,0.8727272727272727
Wholesale,OCT,20,0.1,4,0.8727272727272727
Wholesale,OCT,30,0.001,1,0.8909090909090909
Wholesale,OCT,30,0.01,1,0.8636363636363636
Wholesale,OCT,30,0.1,1,0.8454545454545455
Wholesale,OCT,30,0.001,2,0.6727272727272727
Wholesale,OCT,30,0.01,2,0.8636363636363636
Wholesale,OCT,30,0.1,2,0.9
Wholesale,OCT,30,0.001,3,0.7363636363636363
Wholesale,OCT,30,0.01,3,0.8090909090909091
Wholesale,OCT,30,0.1,3,0.8272727272727273
Wholesale,OCT,30,0.001,4,0.6181818181818182
Wholesale,OCT,30,0.01,4,0.8
Wholesale,OCT,30,0.1,4,0.8181818181818182
Wholesale,OCT,40,0.001,1,0.6272727272727273
