dataset,flip_percentage,tree_type,parameters,accuracy
Australian,20,OCT,0.01,0.8550208361338889
Australian,30,OCT,0.01,0.7071514988573733
Australian,40,OCT,0.01,0.6867942599811803
BreastCancer,20,OCT,0.1,0.8812972085385878
BreastCancer,30,OCT,0.01,0.8955993431855501
BreastCancer,40,OCT,0.01,0.8682840722495895
Heart,20,OCT,0.01,0.7109306409130817
Heart,30,OCT,0.001,0.6887071992976295
Heart,40,OCT,0.1,0.6376755926251098
Wholesale,20,OCT,0.1,0.9022727272727272
Wholesale,30,OCT,0.1,0.8477272727272728
Wholesale,40,OCT,0.01,0.7613636363636364
