dataset,flip_percentage,tree_type,parameters,accuracy
Australian,0,OCT,0.1,0.8348400322624009
Australian,0,OCTSVM,"(1, 0.01, 0.01)",0.844955639198817
Australian,20,OCT,0.01,0.8550208361338889
Australian,20,OCTSVM,"(1, 0.01, 0.01)",0.7799519424653851
Australian,30,OCT,0.01,0.7071514988573733
Australian,30,OCTSVM,"(1, 0.01, 0.1)",0.7202833042075547
Australian,40,OCT,0.01,0.6867942599811803
Australian,40,OCTSVM,"(1, 0.01, 0.01)",0.5593913832504369
BreastCancer,0,OCTSVM,"(1, 0.1, 0.01)",0.9556732348111658
BreastCancer,20,OCT,0.1,0.8812972085385878
BreastCancer,20,OCTSVM,"(1, 0.1, 0.01)",0.9527832512315271
BreastCancer,30,OCT,0.01,0.8955993431855501
BreastCancer,30,OCTSVM,"(1, 0.01, 0.1)",0.9241871921182266
BreastCancer,40,OCT,0.01,0.8682840722495895
BreastCancer,40,OCTSVM,"(1, 0.1, 0.01)",0.9227093596059114
Heart,20,OCT,0.01,0.7109306409130817
Heart,30,OCT,0.001,0.6887071992976295
Heart,40,OCT,0.1,0.6376755926251098
Wholesale,0,OCT,0.001,0.9113636363636364
Wholesale,20,OCT,0.1,0.9022727272727272
Wholesale,20,OCTSVM,"(1, 0.01, 0.1)",0.8772727272727272
Wholesale,30,OCT,0.1,0.8477272727272728
Wholesale,30,OCTSVM,"(1, 0.01, 0.1)",0.8590909090909091
Wholesale,40,OCT,0.01,0.7613636363636364
Wholesale,40,OCTSVM,"(1, 0.01, 0.01)",0.8522727272727273
