dataset,flip_percentage,tree_type,accuracy
Australian,0,OCTSVM,0.8837209302325582
Australian,20,OCTSVM,0.8837209302325582
Australian,30,OCTSVM,0.8895348837209303
Australian,40,OCTSVM,0.877906976744186
BreastCancer,0,OCTSVM,0.9714285714285714
BreastCancer,20,OCTSVM,0.9771428571428572
BreastCancer,30,OCTSVM,0.9771428571428572
BreastCancer,40,OCTSVM,0.8971428571428571
Heart,0,OCTSVM,0.9253731343283582
Heart,20,OCTSVM,0.9117647058823528
Heart,30,OCTSVM,0.8805970149253731
Heart,40,OCTSVM,0.8529411764705882
Ionosphere,0,OCTSVM,0.9090909090909092
Ionosphere,20,OCTSVM,0.8977272727272727
Ionosphere,30,OCTSVM,0.8409090909090909
Ionosphere,40,OCTSVM,0.7727272727272727
MONK's,0,OCTSVM,0.8518518518518519
MONK's,20,OCTSVM,0.7870370370370371
MONK's,30,OCTSVM,0.7314814814814815
MONK's,40,OCTSVM,0.7407407407407407
Sonar,0,OCTSVM,0.8461538461538461
Sonar,20,OCTSVM,0.8076923076923077
Sonar,30,OCTSVM,0.7115384615384616
Sonar,40,OCTSVM,0.6538461538461539
Wholesale,0,OCTSVM,0.9272727272727272
Wholesale,20,OCTSVM,0.9545454545454546
Wholesale,30,OCTSVM,0.9454545454545454
Wholesale,40,OCTSVM,0.9
